죄형, 형성죄
죽각, 각죽
죽교, 교대죽
죽널, 널갯박죽
죽력죽, 죽엽죽
죽림고회, 회반죽
죽방렴멸치회, 회백토반죽
죽변, 변두죽
죽빵, 빵죽
죽순회, 회죽
죽숟가락, 락죽
죽술연명, 명란죽
죽식, 식혜암죽
죽엽죽, 죽력죽
죽을사변, 변죽
죽을통, 통가죽
죽장창, 창송녹죽
죽점, 점어상죽
죽창, 창송취죽
죽청, 청모죽
죽통, 통죽
죽편, 편죽
죽행, 행도죽
죽향, 향삼죽
준각, 각준
준교, 교준
준규, 규준
준실험, 험준
준응, 응답속도기준
준청, 청준
즉각, 각즉
증감회, 회고증
증개축, 축농증
증거적, 적모구증
증격, 격부증
증견, 견순증
증결, 결모증
증교, 교모증
증급, 급사증
증기변, 변기증
증기압편, 편모충증
증기점, 점액뇨증
증기통, 통과증
증답, 답답증
증도면, 면대양증
증뢰죄, 죄증
증류식, 식곤증
증면, 면목가증
증명, 명증
증명적, 적발증
증발식, 식물신경실조증
증빙, 빙증
증삭, 삭뇨증
증산교, 교원증
증산대도교, 교장증
증산면, 면역증
증상학, 학생증
증수무원록, 록소셀레스증
증수회, 회구증
증식, 식미증
증식삭, 삭변증
증식증, 증오증
증양식, 식복증
증오증, 증식증
증운, 운동자동증
증적, 적색뇨증
증전법륜, 륜증
증정식, 식분증
증착, 착감각증
증척, 척수증
증출, 출고증
증통, 통앞뇌증
증편, 편무감각증
증평군청, 청색시증
증평면, 면열배증
증평읍, 읍증
증폭적, 적색시증
증표, 표리증
증혈, 혈관절증
증혐, 혐남증
증회, 회원증
증후군학, 학위증
짐바릿삯, 삯짐
짐승적, 적은짐
짐짓꾸, 꾸린짐
짐짝, 짝짐
짐치대접, 접선짐
짐틀, 틀어짐
짜깡짜깡, 깡짜
짜꽁짜꽁, 꽁짜
짜부뚱, 뚱짜
짝꾸, 꾸짝
짝수점, 점짝
짝짐, 짐짝
짬통, 통짬
짱짱, 짱짱짱짱
짱짱짱짱, 짱짱
찜통, 통닭찜
착감각증, 증착
착견, 견아상착
착근, 근착
착락, 락착
착력점, 점착
착면, 면접착
착용형, 형착
창가극, 극창
창결, 결정살창
창경궁, 궁창
창고형, 형창
창구덕, 덕천창
